Data of census 2001 of Pune Municipal Corporation Published by CENSUS OF INDIA ,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Area of town/ward in  -243.049.sq km,Column22,Column23
Name of Town/Ward,No of House Holds,Total Population (includin instituional) and Houseless Population,,,Scheduled Castes,,,Schedules Tribes,,,Literates,,,illiterates,,,Total Population in the age group (0-6),,,Ward office name,Ward Name in English,Ward Name in Marathi,
,,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,Population,Male,Female,,,,
 Ward No.62,3030,15430,7952,7478,3139,1612,1527,134,71,63,10584,5905,4679,4846,2047,2799,2013,1066,947,Gholeroad,Shaskiya Dhudh Deairy,Gholeroad,शासकीय दूध डेअरी.घोलेरोड,
 Ward No.63,2734,13502,7053,6449,1917,994,923,115,55,60,9994,5659,4335,3508,1394,2114,1682,857,825,Yerwada,Deccan Collage,Yerwada,डेक्‍कन कॉलेज.येरवडा,
 Ward No.64,2960,14371,7450,6921,3784,1903,1881,103,51,52,9072,5247,3825,5299,2203,3096,2151,1131,1020,Yerwada,Gurudwar ,Yerwada,गुरूव्दार.येरवडा,
 Ward No.65,3096,15994,8228,7766,2637,1317,1320,76,40,36,10638,5990,4648,5356,2238,3118,2194,1153,1041,Yerwada,Parnkuti ,Yerwada,पर्णकुटी. येरवडा,
Ward No.66,2599,13066,6742,6324,1594,812,782,97,50,47,10108,5591,4517,2958,1151,1807,1529,820,709,Yerwada,Ganesh Nagar,Yerwada,गणेश नगर.येरवडा,
 Ward No.67,2661,13800,6908,6892,4294,2093,2201,51,23,28,9747,5374,4373,4053,1534,2519,1694,880,814,Yerwada,Netaji Subhashchandra Bos Vidhyamandir,Yerwada,नेताजी सुभाषचंद्र बोस,
 Ward No.68,1743,8469,4380,4089,1761,903,858,77,39,38,6173,3437,2736,2296,943,1353,1011,527,484,Yerwada,Gunjan Cenema, Yerwada,गुंजन सिनेमा.येरवडा,
 Ward No.69,3375,15756,8080,7676,4454,2306,2148,213,123,90,11433,6326,5107,4323,1754,2569,1896,959,937,Dholepatil,Mahatma Gandhi Udhyan,Dholepatilroad,महात्मा गांधी उद्यान.ढोलेपाटील,
Ward No.70,3036,14848,7499,7349,2224,1150,1074,116,67,49,11406,6095,5311,3442,1404,2038,1653,845,808,Dholepatil,Wadiya Collage,Dholepatilroad,वाडीया कॉलेज.ढोलेपाटील,
Ward No.71,3020,15016,7993,7023,3511,1783,1728,179,99,80,10321,6088,4233,4695,1905,2790,2001,1018,983,Kasba,DR.Nayadu Hospital,Kasba,डॉ.नायडू हॉस्पिटल. कसबा,
Ward No.72,2093,11754,5917,5837,2601,1276,1325,71,35,36,8882,4765,4117,2872,1152,1720,1334,696,638,Kasba,Sasoon Hospital,Kasba,ससून हॉस्पिटल. कसबा,
Ward No.73,2335,11208,5959,5249,1025,537,488,57,35,22,9629,5231,4398,1579,728,851,820,447,373,Kasba,Dr.Babasaheb Aambedkar Udhyan,Kasba,डॉ.बाबासाहेब आंबेडकर उद्यान कसबा,
 Ward No.74,2757,12671,6366,6305,147,70,77,146,67,79,11094,5716,5378,1577,650,927,1032,541,491,Bhavanipeth,K.E.M Hospital,Bhavanipeth,के.र्इ.एम.हॉस्पिटल. भवानी पेठ,
Ward No.75,2156,10916,5444,5472,179,90,89,31,19,12,9232,4751,4481,1684,693,991,1025,524,501,Bhavanipeth,Rastapeth,Power House,Bhavanipeth,रास्ता पेठ.पॉवर हाऊस.,
 Ward No.76,2083,11155,5588,5567,912,450,462,9,4,5,9049,4823,4226,2106,765,1341,1118,559,559,Bhavanipeth,Parshi Agyari,Bhavanipeth,पारशी आगेरी.भवानी पेठ,
Ward No.77,2007,11822,5822,6000,4704,2336,2368,50,27,23,8745,4693,4052,3077,1129,1948,1481,767,714,Bhavanipeth,Rajewadi,Bhavanipeth,राजेवाडी.भवानी पेठ,
Ward No.78,1923,10816,5495,5321,1123,567,556,75,35,40,8415,4620,3795,2401,875,1526,1184,617,567,Bhavanipeth,Laxmi Bazat,Bhavanipeth,लक्ष्मीबाझार.भवानी पेठ,
 Ward No.79,2054,9911,4885,5026,473,228,245,6,3,3,8374,4286,4088,1537,599,938,830,435,395,Bhavanipeth,Bhavani Mata Mandir,Bhavanipeth,भवानीमाता मंदीर.भवानी पेठ,
 Ward No.80,2435,12743,6485,6258,2383,1187,1196,8,4,4,10154,5475,4679,2589,1010,1579,1313,681,632,Bhavanipeth,JRL Arunkumar Vaidya Stedium,Bhavanipeth,ज.अरूणकुमार वैद्य स्टे. भवानी पेठ,
 Ward No.81,2260,12365,6311,6054,2961,1471,1490,104,48,56,7947,4541,3406,4418,1770,2648,1707,859,848,Bhavanipeth,Timber Market,Bhavanipeth,टिंबर मार्केट. भवानी पेठ,
 Ward No.82,2214,11838,6104,5734,2227,1143,1084,127,68,59,8553,4787,3766,3285,1317,1968,1401,719,682,Bhavanipeth,Ekbote Colony,Bhavanipeth,एकबोटे कॉलनी. भवानी पेठ,
Ward No.83,1435,8099,4169,3930,1634,820,814,16,9,7,4885,2811,2074,3214,1358,1856,1160,573,587,Bhavanipeth,Sonavane Hospital,Bhavanipeth,सानवणे हॉस्पिटल. भवानी पेठ,
 Ward No.84,3151,18337,9292,9045,6335,3188,3147,8,5,3,11653,6575,5078,6684,2717,3967,2547,1274,1273,Bhavanipeth,Gurunank Nagar,Bhavanipeth,गरूनानक नगर भवानी पेठ.,
